id,trade_key,symbol,mode,side,direction,status,entry_time,exit_time,duration_minutes,shares,entry_price,exit_price,stop_price,target_price,exit_reason,signal_timestamp,signal_entry,signal_stop,signal_target,signal_confidence,order_id,parent_order_id,exit_order_id,realized_pnl,realized_pnl_percent,created_at,updated_at,broker
174,5135c99d-c993-4a6f-a96f-a2d4ed2c8147,TSLA,core_one,BUY,LONG,CLOSED,2026-04-09 17:55:10.861328+00:00,2026-04-09 18:05:06.035737+00:00,9.92,28,348.27,346.9443,347.031,350.748,STOP_HIT,2026-04-09 17:55:10.861328+00:00,348.27,347.031,350.748,87,5135c99d-c993-4a6f-a96f-a2d4ed2c8147,5135c99d-c993-4a6f-a96f-a2d4ed2c8147,577ceebd-45e1-4fcb-8133-fa099491fa09,-37.1196,-0.380653,2026-04-09 17:55:22.257598+00:00,2026-04-09 18:05:06.788233+00:00,ALPACA
162,37c1a4fc-a2df-46ed-afbc-aa0d422113af,MARA,sixth,BUY,LONG,CLOSED,2026-04-09 16:15:08.137985+00:00,2026-04-09 18:05:10.929324+00:00,110.05,1017,9.825,9.71,9.7235,10.028,STOP_HIT,2026-04-09 16:15:08.137985+00:00,9.825,9.7235,10.028,90,37c1a4fc-a2df-46ed-afbc-aa0d422113af,37c1a4fc-a2df-46ed-afbc-aa0d422113af,8edfd500-4974-47fc-893d-f31864f9b7e7,-116.955,-1.170483,2026-04-09 16:15:13.268171+00:00,2026-04-09 18:05:11.671869+00:00,ALPACA
173,af117709-c42d-478b-ac5d-20c49a7a48f0,FUBO,fifth,BUY,LONG,CLOSED,2026-04-09 17:35:13.166337+00:00,2026-04-09 18:25:02.688797+00:00,49.83,813,12.29,12.13,12.1395,12.591,STOP_HIT,2026-04-09 17:35:13.166337+00:00,12.29,12.1395,12.591,83,af117709-c42d-478b-ac5d-20c49a7a48f0,af117709-c42d-478b-ac5d-20c49a7a48f0,1c815a7f-1ca7-4c76-8f9d-4b7319de3507,-130.08,-1.301871,2026-04-09 17:35:18.343427+00:00,2026-04-09 18:25:03.444349+00:00,ALPACA
175,5fef6202-f2aa-42a3-92d3-b18ab15671a2,GRAB,secondary,BUY,LONG,CLOSED,2026-04-09 18:35:07.851366+00:00,2026-04-09 19:25:03.346445+00:00,49.92,2713,3.685,3.67,3.66575,3.7235,STOP_HIT,2026-04-09 18:35:07.851366+00:00,3.685,3.66575,3.7235,75,5fef6202-f2aa-42a3-92d3-b18ab15671a2,5fef6202-f2aa-42a3-92d3-b18ab15671a2,d2be9413-2e37-4cfd-a175-ae87e85014d9,-40.695,-0.407056,2026-04-09 18:35:17.635434+00:00,2026-04-09 19:25:04.086055+00:00,ALPACA
170,f1688c81-2688-4c6b-bb39-8058eef6b974,INTC,core_three,BUY,LONG,CLOSED,2026-04-09 16:45:10.106598+00:00,2026-04-09 19:45:07.792195+00:00,179.96,165,60.315,61.68,59.6465,61.652,TARGET_HIT,2026-04-09 16:45:10.106598+00:00,60.315,59.6465,61.652,75,f1688c81-2688-4c6b-bb39-8058eef6b974,f1688c81-2688-4c6b-bb39-8058eef6b974,10c2cfc8-fe87-4e8e-93d8-9b907e4d9f11,225.225,2.263119,2026-04-09 16:45:15.478798+00:00,2026-04-09 19:45:08.557627+00:00,ALPACA
180,10ef57b8-1f5f-4fb1-a8a8-9bdaf89a2850,INTC,core_three,BUY,LONG,CLOSED,2026-04-09 19:45:12.429576+00:00,2026-04-09 20:30:07.910299+00:00,44.92,162,61.635,61.8593,60.9665,62.972,EXTERNAL_EXIT,2026-04-09 19:45:12.429576+00:00,61.635,60.9665,62.972,85,10ef57b8-1f5f-4fb1-a8a8-9bdaf89a2850,10ef57b8-1f5f-4fb1-a8a8-9bdaf89a2850,8cfbfc38-10bd-436e-948c-feafc6f772b6,36.3366,0.363917,2026-04-09 19:45:20.251556+00:00,2026-04-09 20:30:08.926594+00:00,ALPACA
179,ebf5c776-980e-4a76-bc7b-b849510f6a03,MU,core_two,BUY,LONG,CLOSED,2026-04-09 19:35:09.294160+00:00,2026-04-09 20:30:09.821740+00:00,55.01,22,422.31,421.36,419.69725,427.5355,EXTERNAL_EXIT,2026-04-09 19:35:09.294160+00:00,422.31,419.69725,427.5355,85,ebf5c776-980e-4a76-bc7b-b849510f6a03,ebf5c776-980e-4a76-bc7b-b849510f6a03,f374bfd5-d933-4b82-b7e1-d3f2c86ca577,-20.9,-0.224953,2026-04-09 19:35:16.968839+00:00,2026-04-09 20:30:10.905316+00:00,ALPACA
178,99e32801-3de0-4eb0-9012-b6c3186e6539,AMD,core_one,BUY,LONG,CLOSED,2026-04-09 19:25:09.164139+00:00,2026-04-09 20:30:11.814035+00:00,65.04,26,236.58,236.6465,235.047,239.646,EXTERNAL_EXIT,2026-04-09 19:25:09.164139+00:00,236.58,235.047,239.646,83,99e32801-3de0-4eb0-9012-b6c3186e6539,99e32801-3de0-4eb0-9012-b6c3186e6539,c49acdd8-2632-4da9-b258-60cf2a1ae39c,1.729,0.028109,2026-04-09 19:25:16.724053+00:00,2026-04-09 20:30:12.818755+00:00,ALPACA
177,ad1dbc77-cf00-4767-b590-603e23810996,MARA,sixth,BUY,LONG,CLOSED,2026-04-09 19:15:09.824759+00:00,2026-04-09 20:30:13.352309+00:00,75.06,1025,9.75,9.65,9.6485,9.953,STOP_HIT,2026-04-09 19:15:09.824759+00:00,9.75,9.6485,9.953,84,ad1dbc77-cf00-4767-b590-603e23810996,ad1dbc77-cf00-4767-b590-603e23810996,8eeb8866-35fb-40ff-a07a-cae118f24651,-102.5,-1.025641,2026-04-09 19:15:16.361066+00:00,2026-04-09 20:30:14.339525+00:00,ALPACA
176,8088d6fd-4847-4620-89d4-d30f959c79da,NU,fourth,BUY,LONG,CLOSED,2026-04-09 18:55:09.886311+00:00,2026-04-09 20:30:14.876394+00:00,95.08,676,14.775,14.88,14.7225,14.88,TARGET_HIT,2026-04-09 18:55:09.886311+00:00,14.775,14.7225,14.88,83,8088d6fd-4847-4620-89d4-d30f959c79da,8088d6fd-4847-4620-89d4-d30f959c79da,32a72d42-fc3e-4098-aa1b-c25af24c966f,70.98,0.71066,2026-04-09 18:55:19.809911+00:00,2026-04-09 20:30:17.628845+00:00,ALPACA
171,7a6a3abd-515d-485a-913c-0a7f48440145,RIVN,primary,BUY,LONG,CLOSED,2026-04-09 16:55:12.463013+00:00,2026-04-09 20:30:20.237891+00:00,215.13,654,15.285,15.27,15.208,15.439,EXTERNAL_EXIT,2026-04-09 16:55:12.463013+00:00,15.285,15.208,15.439,81,7a6a3abd-515d-485a-913c-0a7f48440145,7a6a3abd-515d-485a-913c-0a7f48440145,fa0025d4-a8d2-449c-9c07-62164d826b50,-9.81,-0.098135,2026-04-09 16:55:18.977812+00:00,2026-04-09 20:30:21.230482+00:00,ALPACA
168,e01caf6d-12e1-4451-afcb-c90876851748,GOOGL,core_two,BUY,LONG,CLOSED,2026-04-09 16:35:09.708822+00:00,2026-04-09 20:30:22.124039+00:00,235.21,31,318.82,318.5465,317.28525,321.8895,EXTERNAL_EXIT,2026-04-09 16:35:09.708822+00:00,318.82,317.28525,321.8895,84,e01caf6d-12e1-4451-afcb-c90876851748,e01caf6d-12e1-4451-afcb-c90876851748,4ec9f5a4-66bc-4e8c-af2d-56aa47479b58,-8.4785,-0.085785,2026-04-09 16:35:19.367448+00:00,2026-04-09 20:30:23.105649+00:00,ALPACA
164,8f8e000e-0bdb-43d8-9878-9b1e977aef51,NVDA,core_one,BUY,LONG,CLOSED,2026-04-09 16:25:07.518894+00:00,2026-04-09 20:30:23.997774+00:00,245.27,54,183.235,183.85,182.65575,184.3935,EXTERNAL_EXIT,2026-04-09 16:25:07.518894+00:00,183.235,182.65575,184.3935,89,8f8e000e-0bdb-43d8-9878-9b1e977aef51,8f8e000e-0bdb-43d8-9878-9b1e977aef51,d9056148-e25e-4354-a2a8-23b14ec152d5,33.21,0.335635,2026-04-09 16:25:15.299954+00:00,2026-04-09 20:30:24.982904+00:00,ALPACA
163,ba7fd5da-6896-4d03-bb92-61c590ea6e05,WULF,sixth,BUY,LONG,CLOSED,2026-04-09 16:15:08.137985+00:00,2026-04-09 20:30:25.533328+00:00,255.29,520,19.21,18.86,18.867,19.896,STOP_HIT,2026-04-09 16:15:08.137985+00:00,19.21,18.867,19.896,81,ba7fd5da-6896-4d03-bb92-61c590ea6e05,ba7fd5da-6896-4d03-bb92-61c590ea6e05,4799ce32-4046-444d-9e7a-455d4f0edbb4,-182,-1.821968,2026-04-09 16:15:22.792291+00:00,2026-04-09 20:30:26.521073+00:00,ALPACA
