symbol,name,mode,core_group,scan_source,market_phase,side,shares,entry_timestamp_utc,exit_timestamp_utc,entry_price,exit_price,exit_reason,confidence,broker_parent_order_id,pnl,outcome
QBTS,D-Wave Quantum,fourth,non_core,SCHEDULED,MIDDAY,SELL,35.0,2026-03-27T16:20:01.540060+00:00,2026-03-27T16:45:04.826809+00:00,14.155,13.99,TARGET_HIT,70.0,3974b1ca-9b6b-43f1-9845-4e4944a77af9,5.775,WIN
AVGO,Broadcom,core_two,core,SCHEDULED,MIDDAY,SELL,1.0,2026-03-27T16:40:01.577501+00:00,2026-03-27T16:50:12.466439+00:00,300.685,302.1,STOP_HIT,80.0,7f9d7d6a-96dc-48ab-b8a9-644298d2697b,-1.415,LOSS
HIMS,Hims & Hers,primary,non_core,SCHEDULED,MIDDAY,SELL,25.0,2026-03-27T16:50:01.567138+00:00,2026-03-27T17:00:13.139943+00:00,19.55,19.7456,STOP_HIT,80.0,5eb68ce4-3aff-4f04-a314-6990f7ce964c,-4.89,LOSS
ACHR,Archer Aviation,secondary,non_core,SCHEDULED,MIDDAY,SELL,96.0,2026-03-27T16:00:01.475879+00:00,2026-03-27T17:05:03.634820+00:00,5.2,5.14,TARGET_HIT,70.0,baeddef2-67c6-44e7-9f26-fc0d46587b52,5.76,WIN
MU,Micron,core_two,core,SCHEDULED,MORNING,BUY,1.0,2026-03-27T15:40:01.594074+00:00,2026-03-27T17:20:08.801063+00:00,366.11,362.51,STOP_HIT,80.0,95a06e10-c13c-4abd-aa2a-fe440ef263fc,-3.6,LOSS
AAPL,Apple,core_one,core,SCHEDULED,MORNING,SELL,1.0,2026-03-27T15:30:00.934981+00:00,2026-03-27T17:25:02.889322+00:00,252.63,251.07,TARGET_HIT,100.0,a6da8255-0ea1-41fc-bbaa-ca40b070d150,1.56,WIN
JOBY,Joby Aviation,primary,non_core,SCHEDULED,MORNING,SELL,61.0,2026-03-27T15:50:01.468660+00:00,2026-03-27T17:25:03.525281+00:00,8.19,8.07,TARGET_HIT,80.0,6b26af64-87af-4f8c-9242-4885cbd075e8,7.32,WIN
RIVN,Rivian,primary,non_core,SCHEDULED,MIDDAY,SELL,33.0,2026-03-27T16:50:01.567138+00:00,2026-03-27T17:30:09.925834+00:00,14.96,14.83,TARGET_HIT,83.0,da96a2a8-3a59-47b1-936b-dc104352bb8c,4.29,WIN
NIO,NIO,primary,non_core,SCHEDULED,MIDDAY,SELL,91.0,2026-03-27T16:50:01.567138+00:00,2026-03-27T17:30:10.760576+00:00,5.44,5.38,TARGET_HIT,80.0,c8dba774-d985-4695-9aa8-538a35baa019,5.46,WIN
SOFI,SoFi,primary,non_core,SCHEDULED,MIDDAY,SELL,32.0,2026-03-27T16:50:01.567138+00:00,2026-03-27T17:45:04.269832+00:00,15.4,15.22,TARGET_HIT,90.0,5765e1a8-b241-425d-9dbd-3e18349f7706,5.76,WIN
RKLB,Rocket Lab,third,non_core,SCHEDULED,MIDDAY,SELL,8.0,2026-03-27T16:10:01.496766+00:00,2026-03-27T17:50:12.140065+00:00,61.84,60.71,TARGET_HIT,70.0,a59aa13b-3761-4d5a-9321-af94f2b77368,9.04,WIN
IONQ,IonQ,fourth,non_core,SCHEDULED,MIDDAY,SELL,17.0,2026-03-27T17:20:00.949657+00:00,2026-03-27T18:00:11.431561+00:00,27.94,27.5982,TARGET_HIT,70.0,50e26b83-d4cd-4559-838a-07037ec18cb2,5.8106,WIN
ACHR,Archer Aviation,secondary,non_core,SCHEDULED,AFTERNOON,SELL,98.0,2026-03-27T18:00:01.444904+00:00,2026-03-27T18:05:06.574082+00:00,5.075,5.1,STOP_HIT,70.0,68cb8b64-38b0-42d5-8d03-047bb824fbc8,-2.45,LOSS
AAPL,Apple,core_one,core,SCHEDULED,MIDDAY,SELL,1.0,2026-03-27T17:30:01.600702+00:00,2026-03-27T18:10:10.465028+00:00,250.54,248.98,TARGET_HIT,100.0,f75b0111-a549-42ae-b3f4-1c0462382849,1.56,WIN
AVGO,Broadcom,core_two,core,SCHEDULED,MIDDAY,SELL,1.0,2026-03-27T17:40:00.935799+00:00,2026-03-27T18:15:04.761023+00:00,300.38,301.78,STOP_HIT,80.0,b06a58bc-cf5f-4662-ad0a-8cdbc5a1d41c,-1.4,LOSS
JOBY,Joby Aviation,primary,non_core,SCHEDULED,MIDDAY,SELL,62.0,2026-03-27T17:50:01.546774+00:00,2026-03-27T18:15:06.412605+00:00,8.0,8.06,STOP_HIT,80.0,936c614b-c84f-4278-9f43-38c81f16d3c8,-3.72,LOSS
SOFI,SoFi,primary,non_core,SCHEDULED,MIDDAY,SELL,32.0,2026-03-27T17:50:01.546774+00:00,2026-03-27T18:20:10.849562+00:00,15.21,15.3,STOP_HIT,90.0,8ae3e3bb-e6b8-4a30-a0b0-7fa38279dbc7,-2.88,LOSS
RIVN,Rivian,primary,non_core,SCHEDULED,MIDDAY,SELL,33.0,2026-03-27T17:50:01.546774+00:00,2026-03-27T18:35:04.410073+00:00,14.795,14.86,STOP_HIT,100.0,c9766d1a-c0a2-42ed-b38c-343f98fc0bfe,-2.145,LOSS
